Group1,Group2,Group3,Group4,Group5,Group6,Group7,P,PairProduct,FinalResult,NormalizedFinalResult
1.1.,2.1.,3.1.,4.2.,5.3.,6.2.,7.2.,0.000324,986.8588273225542,0.3197422600525076,0.00037459298129570684
1.1.,2.1.,3.1.,4.2.,5.3.,6.2.,7.3.,0.00054,187.04770388636723,0.1010057600986383,0.00011833296229648996
1.1.,2.1.,3.1.,4.2.,5.4.,6.1.,7.1.,0.00010800000000000001,154.88089151167492,0.016727136283260894,1.9596620877882442e-05
1.1.,2.1.,3.1.,4.2.,5.4.,6.1.,7.2.,0.000162,312.00179591711384,0.05054429093857245,5.921499593781628e-05
1.1.,2.1.,3.1.,4.2.,5.4.,6.1.,7.3.,0.00027,91.52052680235336,0.024710542236635408,2.894955356959906e-05
1.1.,2.1.,3.1.,4.2.,5.4.,6.2.,7.1.,7.2e-05,223.9482713197322,0.01612427553502072,1.8890341373407922e-05
1.1.,2.1.,3.1.,4.2.,5.4.,6.2.,7.2.,0.00010800000000000001,335.12920176831227,0.03619395379097773,4.2402906182044636e-05
1.1.,2.1.,3.1.,4.2.,5.4.,6.2.,7.3.,0.00018,79.39984164972321,0.01429197149695018,1.674371167188429e-05
1.1.,2.1.,3.1.,4.3.,5.1.,6.1.,7.1.,0.000144,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.3.,5.1.,6.1.,7.2.,0.00021600000000000002,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.3.,5.1.,6.1.,7.3.,0.00036,127.11184278104635,0.04576026340117669,5.361028438814642e-05
1.1.,2.1.,3.1.,4.3.,5.1.,6.2.,7.1.,9.600000000000002e-05,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.3.,5.1.,6.2.,7.2.,0.000144,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.3.,5.1.,6.2.,7.3.,0.00024000000000000003,108.30831574243007,0.02599399577818322,3.0453179297408627e-05
1.1.,2.1.,3.1.,4.3.,5.2.,6.1.,7.1.,0.00072,1424.1840219377975,1.0254124957952142,0.001201318598907515
1.1.,2.1.,3.1.,4.3.,5.2.,6.1.,7.2.,0.00108,2225.2875342778093,2.403310537020034,0.002815590466189489
1.1.,2.1.,3.1.,4.3.,5.2.,6.1.,7.3.,0.0018,388.93081015766586,0.7000754582837986,0.0008201710746881602
1.1.,2.1.,3.1.,4.3.,5.2.,6.2.,7.1.,0.00048000000000000007,2059.2827600692835,0.9884557248332563,0.001158022016805953
1.1.,2.1.,3.1.,4.3.,5.2.,6.2.,7.2.,0.00072,2390.238917937562,1.7209720209150445,0.0020161990471175076
1.1.,2.1.,3.1.,4.3.,5.2.,6.2.,7.3.,0.0012000000000000001,337.42206058218585,0.40490647269862307,0.00047436683136348033
1.1.,2.1.,3.1.,4.3.,5.3.,6.1.,7.1.,0.00043200000000000004,739.37925594941,0.31941183857014516,0.00037420587710703323
1.1.,2.1.,3.1.,4.3.,5.3.,6.1.,7.2.,0.000648,1421.8831845180969,0.9213803035677268,0.0010794400301164424
1.1.,2.1.,3.1.,4.3.,5.3.,6.1.,7.3.,0.00108,248.51358324966287,0.2683946699096359,0.00031443688284688216
1.1.,2.1.,3.1.,4.3.,5.3.,6.2.,7.1.,0.000288,1321.68592944985,0.3806455476815568,0.0004459440253520321
1.1.,2.1.,3.1.,4.3.,5.3.,6.2.,7.2.,0.00043200000000000004,1888.1227563569275,0.8156690307461928,0.0009555943400400684
1.1.,2.1.,3.1.,4.3.,5.3.,6.2.,7.3.,0.00072,266.53999577238636,0.1919087969561182,0.0002248301127816495
1.1.,2.1.,3.1.,4.3.,5.4.,6.1.,7.1.,0.000144,304.6171380255844,0.04386486787568415,5.138974006437702e-05
1.1.,2.1.,3.1.,4.3.,5.4.,6.1.,7.2.,0.00021600000000000002,553.8493418646988,0.11963145784277494,0.00014015383653921004
1.1.,2.1.,3.1.,4.3.,5.4.,6.1.,7.3.,0.00036,121.00069649349601,0.04356025073765857,5.103286686948551e-05
1.1.,2.1.,3.1.,4.3.,5.4.,6.2.,7.1.,9.600000000000002e-05,408.99643706931613,0.03926365795865436,4.5999207889792035e-05
1.1.,2.1.,3.1.,4.3.,5.4.,6.2.,7.2.,0.000144,552.41077214557,0.07954715118896209,9.319320040009817e-05
