Group1,Group2,Group3,Group4,Group5,Group6,Group7,PC-Norm,9.1.,9.2.,9.3.,9.4.,9.5.,9.1.-Norm,9.2.-Norm,9.3.-Norm,9.4.-Norm,9.5.-Norm,9.1.-Weighted,9.2.-Weighted,9.3.-Weighted,9.4.-Weighted,9.5.-Weighted
1.1.,2.1.,3.1.,4.1.,5.1.,6.1.,7.1.,0.0,10.951200000000004,5.093961599999998,0.0,15.147000000000002,2.5276416000000013,0.3247705787322034,0.15106735854259074,0.0,0.4492019099328552,0.07496015279235085,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.1.,5.1.,6.1.,7.2.,0.0,10.951200000000004,4.794316799999999,0.0,15.147000000000002,2.378956800000001,0.3291468280503212,0.14409691790747728,0.0,0.45525485832403884,0.07150139571816261,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.1.,5.1.,6.1.,7.3.,7.797859547366748e-06,16.426800000000007,4.195027199999998,0.0,13.127400000000002,1.9329024000000008,0.46036489929681784,0.11756661519440244,0.0,0.3678984451645509,0.05417004034422879,3.5898608252542223e-06,9.167679527452636e-07,0.0,2.868820403087775e-06,4.2241036627948634e-07
1.1.,2.1.,3.1.,4.1.,5.1.,6.2.,7.1.,0.0,8.2134,4.730107199999999,7.6447800000000035,12.474,9.268019200000005,0.19403119652353848,0.11174280562259287,0.18059826753344743,0.2946824878168139,0.2189452425036074,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.1.,5.1.,6.2.,7.2.,0.0,8.2134,4.4518656,9.034740000000005,12.474,8.722841600000006,0.19146861683578456,0.10378071794516401,0.21061547851936313,0.2907906015060239,0.20334458519366438,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.1.,5.1.,6.2.,7.3.,3.24833912505692e-06,12.320100000000002,3.895382399999999,13.899600000000005,10.810800000000002,7.087308800000004,0.2565982325290638,0.08113150371058857,0.2894954418276618,0.22516312142151468,0.14761170051117126,8.335180781446112e-07,2.6354263777780555e-07,9.403793702144334e-07,7.314061768334481e-07,4.794928620866221e-07
1.1.,2.1.,3.1.,4.1.,5.2.,6.1.,7.1.,8.409230192352606e-05,10.22112,10.915632,0.0,13.127400000000002,2.369664000000001,0.2790077888691694,0.29796601042053605,0.0,0.35834104751740853,0.06468515319288608,2.3462407220601606e-05,2.5056647711232233e-05,0.0,3.0133723559426517e-05,5.439523432265712e-06
1.1.,2.1.,3.1.,4.1.,5.2.,6.1.,7.2.,0.0002463641657915,10.22112,10.273536,0.0,13.127400000000002,2.230272000000001,0.28508943687004096,0.28655143398219496,0.0,0.36615195532072564,0.062207173827038546,7.023582129045614e-05,7.059600498938155e-05,0.0,9.020672102551715e-05,1.5325618486145182e-05
1.1.,2.1.,3.1.,4.1.,5.2.,6.1.,7.3.,0.0001304817618822,15.331680000000004,8.989343999999997,0.0,11.377080000000005,1.812096000000001,0.40873362445414846,0.2396506550218339,0.0,0.3033063006862134,0.04830941983780413,5.333228345927475e-05,3.127003970347219e-05,0.0,3.957594050350945e-05,6.303498215943587e-06
1.1.,2.1.,3.1.,4.1.,5.2.,6.2.,7.1.,5.9445130196038925e-05,7.665840000000001,10.135944,11.042460000000004,10.8108,8.688768000000003,0.1585692084025149,0.20966373110999187,0.2284151692464798,0.22362324261893124,0.1797286486220822,9.426167238570327e-06,1.2463487793220764e-05,1.3578169474607258e-05,1.3293312772342768e-05,1.068399291729781e-05
