Group1,Group2,Group3,Group4,Group5,Group6,Group7,PC-Norm,8.1.,8.2.,8.3.,8.4.,8.5.,8.1.-Norm,8.2.-Norm,8.3.-Norm,8.4.-Norm,8.5.-Norm,8.1.-Weighted,8.2.-Weighted,8.3.-Weighted,8.4.-Weighted,8.5.-Weighted
1.1.,2.1.,3.1.,4.2.,5.3.,6.2.,7.2.,0.0003745929812957,2.830463999999999,4.8720672,2.1337344,5.0738688000000005,0.7076159999999999,0.18123378383611505,0.31195704088086845,0.13662239089184058,0.3248783384321471,0.04530844595902877,6.788890339867078e-05,0.00011685691797974908,5.117778871592105e-05,0.00012169714535169137,1.69722258496677e-05
1.1.,2.1.,3.1.,4.2.,5.3.,6.2.,7.3.,0.0001183329622964,2.395008,3.6540504,2.1337344,4.349030400000001,0.909792,0.17817858675198495,0.271846079926466,0.1587409227426775,0.3235496876893188,0.06768472288955274,2.1084399988148472e-05,3.216835192636264e-05,1.8784283625805003e-05,3.8286592994352155e-05,8.009333761731727e-06
1.1.,2.1.,3.1.,4.2.,5.4.,6.1.,7.1.,1.959662087788244e-05,2.54016,3.8594556,2.3115456,6.342336000000001,0.338688,0.1650291993628039,0.2507412397818602,0.15017657142015156,0.41204909618681046,0.022003893248373853,3.2340146536933464e-06,4.9136810144553285e-06,2.9429533348609454e-06,8.07476992104704e-06,4.312019538257795e-07
1.1.,2.1.,3.1.,4.2.,5.4.,6.1.,7.2.,5.921499593781628e-05,2.35872,3.6324288,2.1337344,5.919513600000001,0.5927039999999999,0.16114666642180941,0.2481658662895865,0.1457757536246522,0.40441844876821514,0.04049326489573672,9.54229919756008e-06,1.4695140764242523e-05,8.632110658715887e-06,2.3947636800987822e-05,2.3978085163099684e-06
1.1.,2.1.,3.1.,4.2.,5.4.,6.1.,7.3.,2.894955356959906e-05,1.9958400000000005,2.7243216,2.1337344,5.0738688000000005,0.762048,0.15727891588755352,0.21468572018651053,0.16814545916705717,0.3998379550563583,0.06005194970252042,4.5531544008551954e-06,6.21505575716734e-06,4.8677359776415525e-06,1.1575130299062984e-05,1.738477134871983e-06
1.1.,2.1.,3.1.,4.2.,5.4.,6.2.,7.1.,1.889034137340792e-05,2.032128,3.5837802000000005,1.7336592,5.854464,0.435456,0.14898859028969078,0.2627503581989452,0.12710589109089243,0.4292290339298234,0.03192612649064802,2.814445331315067e-06,4.9634439623632854e-06,2.4010736732781663e-06,8.108282978312455e-06,6.030954281389429e-07
1.1.,2.1.,3.1.,4.2.,5.4.,6.2.,7.2.,4.240290618204464e-05,1.886976,3.3729696000000007,1.6003008,5.4641664,0.762048,0.14419299678030592,0.25774498174479693,0.12228675303868254,0.4175434812749372,0.058231787161277394,6.114202114583178e-06,1.0929136279817433e-05,5.185313716406119e-06,1.7705057063425475e-05,2.469197007812437e-06
1.1.,2.1.,3.1.,4.2.,5.4.,6.2.,7.3.,1.674371167188429e-05,1.596672,2.5297272000000004,1.6003008,4.6835712,0.979776,0.14018133305013875,0.22209979955131356,0.14049992698888905,0.4111985769470736,0.08602036346258513,2.3471558223719074e-06,3.7187750060704906e-06,2.3524902674227523e-06,6.8849904122909275e-06,1.4403001637282157e-06
1.1.,2.1.,3.1.,4.3.,5.1.,6.1.,7.1.,0.0,2.2932,4.366252799999999,2.5897871999999995,8.64864,0.2419199999999999,0.12641815235008103,0.24070016207455422,0.14276823338735814,0.4767770317203056,0.013336420467700852,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.3.,5.1.,6.1.,7.2.,0.0,2.1294,4.1094144,2.3905728,8.072064,0.4233599999999999,0.12434589643826263,0.23996844998793332,0.13959703100259582,0.47136659819058324,0.024722024380624992,0.0,0.0,0.0,0.0,0.0
1.1.,2.1.,3.1.,4.3.,5.1.,6.1.,7.3.,5.361028438814642e-05,1.8018,3.0820607999999994,2.3905728,6.918912,0.5443199999999999,0.12225816821356024,0.20912815391875897,0.16220837579596054,0.4694713659400713,0.036933936131648956,6.5542951667028075e-06,1.1211419805152726e-05,8.69603715656077e-06,2.5168493440138776e-05,1.980038819591337e-06
